timestamp,light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door
24-05-24 10:23,0,1,1,1,0,0,0,265,311,0,1,0
24-05-24 10:24,0,1,1,1,0,0,0,265,311,1,1,0
24-05-24 10:25,0,1,1,1,0,0,0,265,311,1,1,0
24-05-24 10:26,0,1,1,1,0,0,0,265,311,0,1,0
24-05-24 10:27,0,1,1,1,0,0,0,265,311,0,1,0
24-05-24 10:28,0,1,1,1,0,0,0,265,311,1,1,0
24-05-24 10:29,0,1,1,1,0,0,0,265,311,0,1,0
24-05-24 10:30,0,1,1,1,0,0,0,265,311,0,1,0
24-05-24 10:31,0,1,1,1,0,0,0,265,311,1,1,0
24-05-24 10:32,0,1,1,1,0,0,0,265,314,1,1,0
24-05-24 10:33,0,1,1,1,0,0,0,265,314,1,1,0
24-05-24 10:34,0,1,1,1,0,0,0,265,314,1,1,0
24-05-24 10:35,0,1,1,1,0,0,0,265,314,1,1,0
24-05-24 10:36,0,1,1,1,0,0,0,265,314,1,1,0
24-05-24 10:37,0,1,1,1,0,0,0,265,314,1,1,0
24-05-24 10:38,0,1,1,1,0,0,0,265,314,0,1,0
24-05-24 10:39,0,1,1,1,0,0,0,265,314,1,1,0
24-05-24 10:40,0,1,1,1,0,0,0,265,314,1,1,0
24-05-24 10:41,0,1,1,1,0,0,0,265,314,1,1,0
24-05-24 10:42,0,1,1,1,0,0,0,265,314,0,1,0
24-05-24 10:43,0,1,1,1,0,0,0,265,314,1,1,0
24-05-24 10:44,0,1,1,1,0,0,0,265,314,0,1,0
24-05-24 10:45,0,1,1,1,0,0,0,265,314,0,1,0
24-05-24 10:46,0,1,1,1,0,0,0,265,314,0,1,0
24-05-24 10:47,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 10:48,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 10:49,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 10:50,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 10:51,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 10:52,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 10:53,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 10:54,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 10:55,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 10:56,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 10:57,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 10:58,0,1,1,1,0,0,0,265,318,1,1,0
24-05-24 10:59,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 11:00,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 11:01,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 11:02,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 11:03,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 11:04,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 11:05,0,1,1,1,0,0,0,265,318,1,1,0
24-05-24 11:06,0,1,1,1,0,0,0,265,318,1,1,0
24-05-24 11:07,0,1,1,1,0,0,0,265,318,0,1,0
24-05-24 11:08,0,1,1,1,0,0,0,265,318,1,1,0
