light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door,weekday
0,1,1,1,0,0,0,0.168103448,0.392241379,0,0,0,1
0,0,0,1,0,0,0,0.168103448,0.392241379,0,0,0,1
0,0,0,1,0,0,0,0.168103448,0.392241379,0,0,0,1
0,0,0,1,0,0,0,0.168103448,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.38362069,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.120689655,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.36637931,1,0,0,1
0,0,0,1,0,0,0,0.077586207,0.379310345,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.396551724,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.396551724,0,0,0,1
0,0,0,1,0,0,0,0.077586207,0.409482759,0,0,0,1
0,0,0,1,0,0,0,0.142241379,0.422413793,0,0,0,1
0,0,0,1,0,0,0,0.142241379,0.452586207,0,0,0,1
0,0,0,1,0,0,0,0.206896552,0.452586207,0,0,0,1
0,0,0,1,0,0,0,0.228448276,0.469827586,0,0,0,1
0,0,0,1,0,0,0,0.228448276,0.482758621,0,0,0,1
0,0,0,1,0,0,0,0.228448276,0.482758621,0,0,0,1
0,0,0,1,0,0,0,0.228448276,0.482758621,0,0,0,1
0,0,0,1,0,0,0,0.254310345,0.482758621,0,0,0,1
0,0,0,1,0,0,0,0.254310345,0.482758621,0,0,0,1
0,0,0,1,0,0,0,0.254310345,0.482758621,0,0,0,1
0,0,0,1,0,0,0,0.254310345,0.482758621,0,0,0,1
0,0,0,1,0,0,0,0.168103448,0.392241379,0,0,0,0
0,0,0,1,0,0,0,0.168103448,0.392241379,0,0,0,0
0,0,0,1,0,0,0,0.168103448,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.375,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.120689655,0.36637931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.353448276,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.349137931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,0
0,0,0,1,0,0,0,0.077586207,0.36637931,0,0,0,0
0,0,0,1,0,1,0,0.193965517,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.193965517,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.193965517,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.193965517,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.193965517,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.193965517,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.193965517,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.193965517,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.193965517,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.193965517,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.193965517,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.193965517,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.392241379,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.392241379,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.392241379,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.392241379,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.392241379,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.392241379,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.387931034,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.150862069,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.107758621,0.379310345,0,0,0,0
0,0,0,1,0,0,0,0.107758621,0.375,0,0,0,0
0,0,0,1,0,0,0,0.107758621,0.375,0,0,0,0
0,0,0,1,0,0,0,0.107758621,0.375,0,0,0,0
0,0,0,1,0,0,1,0.206896552,0.301724138,0,0,0,0
0,0,0,1,0,0,0,0.206896552,0.301724138,0,0,0,1
0,0,0,1,0,0,0,0.206896552,0.318965517,0,0,0,1
0,0,0,1,0,0,0,0.206896552,0.318965517,0,0,0,1
0,0,0,1,0,0,0,0.206896552,0.318965517,0,0,0,1
0,0,0,1,0,0,0,0.206896552,0.318965517,0,0,0,1
0,0,0,1,0,0,0,0.206896552,0.318965517,0,0,0,1
0,0,0,1,0,0,0,0.206896552,0.318965517,0,0,0,1
0,0,0,1,0,0,0,0.206896552,0.336206897,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.336206897,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.336206897,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.336206897,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.336206897,0,0,0,1
0,0,0,1,0,0,0,0.159482759,0.336206897,0,0,0,1
