light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,timestamp
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 11:40:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 11:50:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 12:00:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 12:10:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 12:20:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 12:30:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 12:40:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 12:50:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 13:00:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 13:10:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 13:20:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 13:30:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 13:40:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 13:50:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 14:00:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 14:10:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 14:20:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 14:30:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 14:40:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 14:50:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 15:00:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 15:10:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 15:20:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 15:30:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 15:40:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 15:50:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 16:00:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 16:10:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 16:20:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 16:30:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 16:40:00
0.0,1.0,0.0,1,0.0,0.0,0.0,2024-07-05 16:50:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 17:00:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 17:10:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 17:20:00
0.0,0.0,0.0,1,0.0,0.0,0.0,2024-07-05 17:30:00
