light_Shower,light_FR,light_FL,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door,plug_AC,weekday
1,0,0,0,0,0,279,275,0,1,0,0,1
1,0,0,0,0,0,279,275,0,1,0,0,1
1,0,0,0,0,0,279,275,0,1,0,0,1
1,0,0,0,0,0,275,275,0,1,0,0,1
1,0,0,0,0,0,275,275,0,1,0,0,1
1,0,0,0,0,0,275,275,0,1,0,0,1
1,0,0,0,0,0,275,275,0,1,0,0,1
1,0,0,0,0,0,275,275,0,1,0,0,1
1,0,0,0,0,0,275,275,0,1,0,0,1
1,0,0,0,0,0,275,275,0,1,0,0,1
1,0,0,0,0,0,275,275,0,1,0,0,1
1,0,0,0,0,0,275,275,0,1,0,0,1
1,0,0,0,0,0,275,274,0,1,0,0,1
1,0,0,0,0,0,275,274,0,1,0,0,1
1,0,0,0,0,0,275,274,0,1,0,0,1
1,0,0,0,0,0,275,274,0,1,0,0,1
1,0,0,0,0,0,269,274,0,1,0,0,1
1,0,0,0,0,0,269,274,0,1,0,0,1
1,0,0,0,0,0,269,275,0,1,0,0,1
1,0,0,0,0,0,269,275,0,1,0,0,1
1,0,0,0,0,0,269,275,0,1,0,0,1
1,0,0,0,0,0,269,275,0,1,0,0,1
1,0,0,0,0,0,269,275,0,1,0,0,1
1,0,0,0,0,0,269,275,0,1,0,0,1
1,0,0,0,0,0,269,274,0,1,0,0,1
1,0,0,0,0,0,269,274,0,1,0,0,1
1,0,0,0,0,0,269,274,0,1,0,0,1
1,0,0,0,0,0,269,274,0,1,0,0,1
1,0,0,0,0,0,269,274,0,1,0,0,1
1,0,0,0,0,0,269,274,0,1,0,0,1
1,0,0,0,0,0,269,272,0,1,0,0,1
1,0,0,0,0,0,269,272,0,1,0,0,1
1,0,0,0,0,0,269,272,0,1,0,0,1
1,0,0,0,0,0,269,272,0,1,0,0,1
1,0,0,0,0,0,265,272,0,1,0,0,1
1,0,0,0,0,0,265,272,0,1,0,0,1
1,0,0,0,0,0,262,276,0,1,0,0,1
1,0,0,0,0,0,262,276,0,1,0,0,1
1,0,0,0,0,0,262,276,0,1,0,0,1
1,0,0,0,0,0,265,276,0,1,0,0,1
1,0,0,0,0,0,261,276,0,1,0,0,1
1,0,0,0,0,0,261,276,0,1,0,0,1
1,0,0,0,0,0,261,274,0,1,0,0,1
1,0,0,0,0,0,261,274,0,1,0,0,1
1,0,0,0,0,0,261,274,1,1,0,0,1
1,0,0,0,0,0,266,277,0,1,0,0,1
1,0,0,0,0,0,266,277,0,1,0,0,1
1,0,0,0,0,0,266,281,0,1,0,0,1
1,0,0,0,0,0,266,284,0,1,0,0,1
1,0,0,0,0,0,266,287,0,1,0,0,1
1,0,0,0,0,0,266,287,0,3,1,0,1
1,0,0,0,0,0,273,291,0,3,1,0,1
1,0,0,0,0,0,273,291,0,3,1,0,1
1,0,0,0,0,0,273,294,0,3,1,0,1
1,0,0,0,0,0,273,294,0,3,1,0,1
1,0,0,0,0,0,281,297,0,3,1,0,1
1,0,0,0,0,0,281,297,0,3,1,0,1
1,0,0,0,0,0,281,297,0,3,1,0,1
1,0,0,0,0,0,281,297,0,1,0,0,1
1,0,0,0,0,0,281,297,0,1,0,0,1
1,0,0,0,0,0,281,297,0,1,0,0,1
1,0,0,0,0,0,281,300,0,1,0,0,1
1,0,0,0,0,0,281,300,0,1,0,0,1
1,0,0,0,0,0,281,300,0,1,0,0,1
1,0,0,0,0,0,281,300,0,1,0,0,1
1,0,0,0,0,0,281,300,0,1,0,0,1
1,0,0,0,0,0,281,300,0,1,0,0,1
1,0,0,0,0,0,281,297,0,1,0,0,1
1,0,0,0,0,0,281,297,0,1,0,0,1
1,0,0,0,0,0,281,297,0,1,0,0,1
1,0,0,0,0,0,281,297,0,1,0,0,1
1,0,0,0,0,0,281,297,0,1,0,0,1
1,0,0,0,0,0,291,297,0,1,0,0,1
1,0,0,0,0,0,291,298,0,1,0,0,1
1,0,0,0,0,0,291,298,0,1,0,0,1
1,0,0,0,0,0,291,298,0,1,0,0,1
1,0,0,0,0,0,291,298,0,1,0,0,1
1,0,0,0,0,0,291,298,0,1,0,0,1
1,0,0,0,0,0,291,298,0,1,0,0,1
1,0,0,0,0,0,291,301,0,1,0,0,1
1,0,0,0,0,0,291,301,0,1,0,0,1
1,0,0,0,0,0,291,301,0,1,0,0,1
1,0,0,0,0,0,291,301,0,1,0,0,1
1,0,0,0,0,0,291,295,0,1,0,0,1
1,0,0,0,0,0,291,280,1,1,0,0,1
1,0,0,0,0,0,291,271,0,1,0,0,1
1,0,0,0,0,0,291,271,0,1,0,0,1
1,0,0,0,0,0,291,271,0,1,0,0,1
1,0,0,0,0,0,291,274,0,1,0,0,1
1,0,0,0,0,0,291,274,0,1,0,0,1
1,0,0,0,0,0,291,274,0,1,0,0,1
1,0,0,0,0,0,291,277,0,1,0,0,1
1,0,0,0,0,0,291,277,0,1,0,0,1
1,0,0,0,0,0,291,277,0,1,0,0,1
1,0,0,0,0,0,291,277,0,1,0,0,1
1,0,0,0,0,0,291,277,0,1,0,0,1
1,0,0,0,0,0,291,277,0,1,0,0,1
1,0,0,0,0,0,291,279,0,1,0,0,1
1,0,0,0,0,0,291,279,0,1,0,0,1
1,0,0,0,0,0,291,279,0,1,0,0,1
1,0,0,0,0,0,291,279,0,1,0,0,1
1,0,0,0,0,0,291,279,0,1,0,0,1
1,0,0,0,0,0,291,279,0,1,0,0,1
1,0,0,0,0,0,291,280,0,1,0,0,1
1,0,0,0,0,0,291,280,0,1,0,0,1
1,0,0,0,0,0,291,280,0,1,0,0,1
1,0,0,0,0,0,291,280,0,1,0,0,1
1,0,0,0,0,0,291,280,0,1,0,0,1
1,0,0,0,0,0,291,280,0,1,0,0,1
1,0,0,0,0,0,291,280,0,1,0,0,1
1,0,0,0,0,0,291,280,0,1,0,0,1
1,0,0,0,0,0,291,280,0,1,0,0,1
1,0,0,0,0,0,291,280,0,1,0,0,1
1,0,0,0,0,0,291,275,0,1,0,0,1
1,0,0,0,0,0,291,275,0,1,0,1,1
1,0,0,0,0,0,291,275,0,1,0,1,1
1,0,0,0,0,0,291,275,0,1,0,0,1
1,0,0,0,0,0,291,275,0,1,0,0,1
1,0,0,0,0,0,291,275,0,1,0,0,1
1,0,0,0,0,0,291,273,0,1,0,0,1
1,0,0,0,0,0,282,273,0,1,0,0,1
1,0,0,0,0,0,282,273,0,1,0,0,1
1,0,0,0,0,0,282,273,0,1,0,0,1
1,1,0,0,0,0,282,271,0,1,0,0,1
1,0,0,0,0,1,282,271,1,1,0,0,1
1,1,0,0,0,1,282,271,0,1,0,0,1
1,0,0,0,0,0,282,271,0,1,0,0,1
1,0,0,0,0,0,282,271,0,1,0,0,1
0,0,0,0,0,1,282,271,0,1,0,0,1
0,0,0,0,0,0,282,270,0,1,0,0,1
1,0,0,0,0,0,282,270,0,1,0,0,1
1,0,0,0,0,0,282,270,0,1,0,0,1
1,0,0,0,0,1,282,270,0,1,0,0,1
1,0,0,0,0,0,275,270,0,1,0,0,1
1,0,0,0,0,0,275,270,0,1,0,0,1
1,0,0,0,0,0,275,270,0,1,0,0,1
1,0,0,0,0,0,275,270,0,1,0,0,1
1,0,0,0,0,0,275,270,0,1,0,0,1
1,0,0,0,0,1,275,270,0,1,0,0,1
1,0,0,0,0,0,275,270,0,1,0,0,1
1,0,0,0,0,0,275,270,0,1,0,0,1
1,0,0,0,0,0,262,270,0,1,0,0,1
1,0,0,0,0,0,262,273,0,1,0,0,1
1,0,0,0,0,0,262,273,0,1,0,0,1
1,0,0,0,0,0,264,273,0,1,0,0,1
1,0,0,0,0,0,261,273,0,1,0,0,1
1,0,0,0,0,0,261,273,0,1,0,0,1
1,0,0,0,0,0,261,273,0,1,0,0,1
1,0,0,0,0,0,264,272,0,1,0,0,1
1,0,0,0,0,0,264,272,0,1,0,0,1
1,0,0,0,0,0,260,272,0,1,0,0,1
1,0,0,0,0,0,260,272,0,1,0,0,1
1,0,0,0,0,0,260,272,0,1,0,0,1
1,0,0,0,0,0,264,272,0,1,0,0,1
1,0,0,0,0,0,264,273,0,1,0,0,1
1,0,0,0,0,0,260,273,0,1,0,0,1
1,0,0,0,0,0,260,273,0,1,0,0,1
1,0,0,0,0,0,260,273,0,1,0,0,1
1,0,0,0,0,0,263,273,0,1,0,0,1
1,0,0,0,0,0,260,273,0,1,0,0,1
1,0,0,0,0,0,260,273,0,1,0,0,1
1,0,0,0,0,0,260,273,0,1,0,0,1
1,0,0,0,0,0,262,273,0,1,0,0,1
1,0,0,0,0,0,262,273,0,1,0,0,1
1,0,0,0,0,0,260,273,0,1,0,0,1
1,0,0,0,0,0,260,273,0,1,0,0,1
1,0,0,0,0,0,260,272,0,1,0,0,1
1,0,0,0,0,0,261,272,0,1,0,0,1
1,0,0,0,0,0,261,272,0,1,0,0,1
1,0,0,0,0,0,261,272,0,1,0,0,1
1,0,0,0,0,0,261,272,0,1,0,0,1
1,0,0,0,0,0,261,272,0,1,0,0,1
1,0,0,0,0,0,261,272,0,1,0,0,1
1,0,0,0,0,0,261,272,0,1,0,0,1
1,0,0,0,0,0,261,272,0,1,0,0,1
1,0,0,0,0,0,261,272,0,1,0,0,1
1,0,0,0,0,0,261,272,0,1,0,0,1
1,0,0,0,0,0,261,272,0,1,0,0,1
1,0,0,0,0,0,261,271,0,1,0,0,1
1,0,0,0,0,0,261,274,0,1,0,0,1
1,0,0,0,0,0,261,274,0,1,0,0,1
1,0,0,0,0,0,261,274,0,1,0,0,1
1,0,0,0,0,0,261,274,0,1,0,0,1
1,0,0,0,0,0,261,274,0,1,0,0,1
1,0,0,0,0,0,261,274,0,1,0,0,1
1,0,0,0,0,0,261,275,0,1,0,0,1
1,0,0,0,0,0,257,275,0,1,0,0,1
1,0,0,0,0,0,257,277,0,1,0,0,1
1,0,0,0,0,0,257,277,0,1,0,0,1
1,0,0,0,0,0,257,281,1,1,0,0,1
1,0,0,0,0,0,257,281,0,2,0,0,1
1,0,0,0,0,0,257,284,0,3,0,0,1
1,0,0,0,0,0,257,287,0,3,0,0,1
1,0,0,0,0,0,257,287,0,1,0,0,1
1,0,0,0,0,0,254,291,1,1,0,0,1
1,0,0,0,0,0,257,291,1,1,0,0,1
1,0,0,0,0,0,257,294,0,1,0,0,1
1,0,0,0,0,0,257,294,0,2,0,0,1
1,0,0,0,0,0,267,301,0,2,0,0,1
1,0,0,0,0,0,267,301,0,1,0,0,1
1,0,0,0,0,0,267,304,0,1,0,0,1
1,0,0,0,0,0,267,304,0,1,0,0,1
1,0,0,0,0,0,267,304,0,1,0,0,1
1,0,0,0,0,0,267,308,0,1,0,0,1
1,0,0,0,0,0,279,308,0,2,0,0,1
1,0,0,0,0,0,279,311,0,2,0,0,1
1,0,0,0,0,0,279,311,0,1,0,0,1
1,0,0,0,0,0,279,315,0,1,0,0,1
1,0,0,0,0,0,279,315,0,1,0,0,1
1,0,0,0,0,0,279,318,0,1,0,0,1
1,0,0,0,0,0,275,270,0,1,0,0,1
1,0,0,0,0,0,290,321,0,1,0,0,1
1,0,0,0,0,0,290,321,0,1,0,0,1
1,0,0,0,0,0,290,321,0,1,0,0,1
1,0,0,0,0,0,290,321,0,1,0,0,1
1,0,0,0,0,0,290,321,0,1,0,0,1
1,0,0,0,0,0,290,320,0,1,0,0,1
1,1,0,0,0,0,290,320,0,1,0,0,1
1,1,0,0,0,0,300,320,0,1,0,0,1
1,0,0,0,0,0,300,320,0,1,0,0,1
1,0,0,0,1,0,303,277,0,1,0,1,1
1,0,0,0,0,0,300,320,0,1,0,0,1
1,0,0,0,0,0,300,322,0,1,0,0,1
1,0,0,0,0,0,300,322,0,1,0,0,1
1,0,0,0,0,0,300,322,0,1,0,0,1
1,0,0,0,0,0,300,322,0,1,0,0,1
1,0,0,0,1,0,303,277,0,1,0,1,1
1,0,0,0,1,0,303,277,0,1,0,1,1
1,0,0,0,0,0,300,325,0,1,0,0,1
1,0,0,0,0,0,300,328,0,1,0,0,1
1,0,0,0,0,0,300,328,0,1,0,0,1
1,0,0,0,0,0,309,335,0,1,0,0,1
1,0,0,0,0,0,309,342,0,1,0,0,1
1,0,0,0,0,0,309,346,0,1,0,0,1
1,0,0,0,0,0,309,346,0,3,1,0,1
1,0,0,0,0,0,309,349,0,3,1,0,1
1,0,0,0,0,0,309,352,0,3,1,0,1
1,0,0,0,0,0,309,349,0,2,1,0,1
1,0,0,0,0,0,309,346,0,2,1,0,1
1,0,0,0,0,0,309,346,0,2,1,0,1
1,0,0,0,0,0,309,346,0,2,1,0,1
1,0,0,0,0,0,309,343,0,2,1,0,1
1,0,0,0,0,0,309,343,0,2,1,0,1
1,0,0,0,0,0,309,343,0,3,1,0,1
1,0,0,0,0,0,309,343,0,3,1,0,1
1,0,0,0,0,0,315,349,0,3,1,0,1
1,0,0,0,0,0,315,359,0,2,1,0,1
1,0,0,0,0,0,315,359,0,2,1,0,1
1,0,0,0,0,0,315,359,0,2,1,0,1
1,0,0,0,0,0,315,359,0,2,1,0,1
1,0,0,0,0,0,315,363,0,2,1,0,1
1,0,0,0,0,0,315,370,0,2,1,0,1
1,0,0,0,0,0,315,373,0,1,1,0,1
1,0,0,0,0,0,315,367,0,1,0,0,1
1,0,0,0,0,0,315,360,0,1,0,0,1
1,0,0,0,0,0,315,346,0,1,0,0,1
1,0,0,0,0,0,315,336,0,1,0,0,1
1,0,0,0,0,0,317,329,0,1,0,0,1
1,0,0,0,0,0,317,326,0,1,0,0,1
1,0,0,0,0,0,317,323,0,1,0,0,1
1,0,0,0,0,0,317,319,0,1,0,0,1
1,0,0,0,0,0,317,319,0,1,0,0,1
1,0,0,0,0,0,317,316,0,1,0,0,1
1,0,0,0,0,0,317,316,0,1,0,0,1
1,0,0,0,0,0,310,316,0,1,0,0,1
1,0,0,0,0,0,310,312,0,1,0,0,1
1,0,0,0,0,0,310,312,0,1,0,0,1
1,0,0,0,0,0,310,312,0,1,0,0,1
1,0,0,0,0,0,310,308,0,1,0,0,1
1,0,0,0,0,0,310,308,0,1,0,0,1
1,0,0,0,0,0,310,308,0,1,0,0,1
1,0,0,0,0,0,310,308,0,1,0,0,1
1,0,0,0,0,0,310,305,0,1,0,0,1
1,0,0,0,0,0,310,305,0,1,0,0,1
1,0,0,0,0,0,310,305,0,1,0,0,1
1,0,0,0,0,0,310,305,0,1,0,0,1
1,0,0,0,0,0,310,305,0,1,0,0,1
