light_Shower,light_FR,light_FL,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door,plug_AC,weekday
1,0,0,0,0,0,0.25,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.25,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.25,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.25,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.25,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.24568965517241378,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.2413793103448276,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.2413793103448276,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28879310344827586,0,0.0,0,1,1
1,0,0,0,0,0,0.23275862068965517,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.28448275862068967,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.2801724137931034,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.29310344827586204,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.29310344827586204,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.29310344827586204,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.29310344827586204,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.29310344827586204,0,0.0,0,1,1
1,0,0,0,0,0,0.23706896551724138,0.29310344827586204,0,0.0,0,0,1
1,0,0,0,0,0,0.23706896551724138,0.2974137931034483,0,0.0,0,0,1
1,0,0,0,0,0,0.21982758620689655,0.2974137931034483,0,0.0,0,0,1
1,0,0,0,0,0,0.21982758620689655,0.30603448275862066,0,0.0,0,0,1
1,0,0,0,0,0,0.21982758620689655,0.30603448275862066,0,0.0,0,0,1
1,0,0,0,0,0,0.21982758620689655,0.3232758620689655,1,0.0,0,0,1
1,0,0,0,0,0,0.21982758620689655,0.3232758620689655,0,0.5,0,0,1
1,0,0,0,0,0,0.21982758620689655,0.33620689655172414,0,1.0,0,0,1
1,0,0,0,0,0,0.21982758620689655,0.34913793103448276,0,1.0,0,0,1
1,0,0,0,0,0,0.21982758620689655,0.34913793103448276,0,0.0,0,0,1
1,0,0,0,0,0,0.20689655172413793,0.36637931034482757,1,0.0,0,0,1
1,0,0,0,0,0,0.21982758620689655,0.36637931034482757,1,0.0,0,0,1
1,0,0,0,0,0,0.21982758620689655,0.3793103448275862,0,0.0,0,0,1
1,0,0,0,0,0,0.21982758620689655,0.3793103448275862,0,0.5,0,0,1
1,0,0,0,0,0,0.2629310344827586,0.40948275862068967,0,0.5,0,0,1
1,0,0,0,0,0,0.2629310344827586,0.40948275862068967,0,0.0,0,0,1
1,0,0,0,0,0,0.2629310344827586,0.4224137931034483,0,0.0,0,0,1
1,0,0,0,0,0,0.2629310344827586,0.4224137931034483,0,0.0,0,0,1
1,0,0,0,0,0,0.2629310344827586,0.4224137931034483,0,0.0,0,0,1
1,0,0,0,0,0,0.2629310344827586,0.4396551724137931,0,0.0,0,0,1
1,0,0,0,0,0,0.3146551724137931,0.4396551724137931,0,0.5,0,0,1
1,0,0,0,0,0,0.3146551724137931,0.4525862068965517,0,0.5,0,0,1
1,0,0,0,0,0,0.3146551724137931,0.4525862068965517,0,0.0,0,0,1
1,0,0,0,0,0,0.3146551724137931,0.4698275862068966,0,0.0,0,0,1
1,0,0,0,0,0,0.3146551724137931,0.4698275862068966,0,0.0,0,0,1
1,0,0,0,0,0,0.3146551724137931,0.4827586206896552,0,0.0,0,0,1
1,0,0,0,0,0,0.2974137931034483,0.27586206896551724,0,0.0,0,0,1
1,0,0,0,0,0,0.3620689655172414,0.4956896551724138,0,0.0,0,0,1
1,0,0,0,0,0,0.3620689655172414,0.4956896551724138,0,0.0,0,0,1
1,0,0,0,0,0,0.3620689655172414,0.4956896551724138,0,0.0,0,0,1
1,0,0,0,0,0,0.3620689655172414,0.4956896551724138,0,0.0,0,0,1
1,0,0,0,0,0,0.3620689655172414,0.4956896551724138,0,0.0,0,0,1
1,0,0,0,0,0,0.3620689655172414,0.49137931034482757,0,0.0,0,0,1
1,1,0,0,0,0,0.3620689655172414,0.49137931034482757,0,0.0,0,0,1
1,1,0,0,0,0,0.4051724137931034,0.49137931034482757,0,0.0,0,0,1
1,0,0,0,0,0,0.4051724137931034,0.49137931034482757,0,0.0,0,0,1
1,0,0,0,1,0,0.41810344827586204,0.30603448275862066,0,0.0,0,1,1
1,0,0,0,0,0,0.4051724137931034,0.49137931034482757,0,0.0,0,0,1
1,0,0,0,0,0,0.4051724137931034,0.5,0,0.0,0,0,1
1,0,0,0,0,0,0.4051724137931034,0.5,0,0.0,0,0,1
1,0,0,0,0,0,0.4051724137931034,0.5,0,0.0,0,0,1
1,0,0,0,0,0,0.4051724137931034,0.5,0,0.0,0,0,1
1,0,0,0,1,0,0.41810344827586204,0.30603448275862066,0,0.0,0,1,1
1,0,0,0,1,0,0.41810344827586204,0.30603448275862066,0,0.0,0,1,1
1,0,0,0,0,0,0.4051724137931034,0.5129310344827587,0,0.0,0,0,1
1,0,0,0,0,0,0.4051724137931034,0.5258620689655172,0,0.0,0,0,1
1,0,0,0,0,0,0.4051724137931034,0.5258620689655172,0,0.0,0,0,1
1,0,0,0,0,0,0.44396551724137934,0.5560344827586207,0,0.0,0,0,1
1,0,0,0,0,0,0.44396551724137934,0.5862068965517241,0,0.0,0,0,1
