light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door,weekday
0,0,0,0,0,0,0,0.077586207,0.409482759,0,0,0,0
0,0,0,0,0,0,0,0.077586207,0.422413793,0,0,0,0
0,0,0,0,0,0,0,0.142241379,0.439655172,0,0,0,0
0,0,0,0,0,0,0,0.206896552,0.452586207,0,0,0,0
0,0,0,0,0,0,0,0.206896552,0.469827586,0,0,0,0
0,0,0,0,0,0,0,0.25862069,0.482758621,0,0,0,0
0,0,0,0,0,0,0,0.25862069,0.495689655,0,0,0,0
0,0,0,0,0,0,0,0.25862069,0.512931034,0,0,0,0
0,0,0,0,0,0,0,0.323275862,0.512931034,0,0,0,0
0,0,0,0,0,0,0,0.323275862,0.525862069,0,0,0,0
0,0,0,0,0,0,0,0.323275862,0.543103448,0,0,0,0
0,0,0,0,0,0,0,0.370689655,0.543103448,0,0,0,0
0,0,0,0,0,0,0,0.370689655,0.556034483,1,0,0,0
0,0,0,0,0,0,0,0.370689655,0.568965517,1,1,0,0
0,0,0,0,0,0,0,0.370689655,0.568965517,0,1,0,0
0,0,0,0,1,0,0,0.426724138,0.581896552,0,1,0,0
0,0,0,0,1,0,0,0.426724138,0.599137931,0,1,0,0
0,0,0,0,1,0,0,0.426724138,0.599137931,0,1,0,0
0,0,0,0,1,0,0,0.426724138,0.599137931,0,1,0,0
0,0,0,0,1,0,0,0.426724138,0.599137931,0,1,0,0
0,0,0,0,1,0,0,0.482758621,0.61637931,0,1,0,0
0,0,0,0,1,0,0,0.482758621,0.61637931,0,0.5,0,0
0,0,0,0,1,0,0,0.482758621,0.61637931,0,0.5,0,0
0,0,0,0,1,0,0,0.482758621,0.61637931,0,0.5,0,0
0,0,0,0,1,0,0,0.482758621,0.629310345,0,0.5,0,0
0,0,0,0,1,0,0,0.482758621,0.629310345,0,0.5,0,0
0,0,0,0,1,0,0,0.534482759,0.629310345,0,0.5,0,0
0,0,0,0,1,0,0,0.534482759,0.629310345,0,0.5,0,0
0,0,0,0,1,0,0,0.534482759,0.642241379,1,0.5,0,0
0,0,0,0,1,0,0,0.534482759,0.642241379,0,0.5,0,0
0,0,0,0,1,0,0,0.534482759,0.642241379,0,0.5,0,0
0,0,0,0,1,0,0,0.534482759,0.642241379,0,0.5,0,0
0,0,0,0,1,0,0,0.534482759,0.642241379,0,0.5,0,0
0,0,0,0,1,0,0,0.534482759,0.642241379,0,0.5,0,0
0,0,0,0,1,0,0,0.534482759,0.620689655,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.620689655,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.629310345,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.629310345,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.629310345,1,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.629310345,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.629310345,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.620689655,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.620689655,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.620689655,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.620689655,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.629310345,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.629310345,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.629310345,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.646551724,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.646551724,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.646551724,0,0.5,0,0
0,0,0,0,1,0,0,0.577586207,0.61637931,0,0,0,0
0,0,0,0,1,0,0,0.577586207,0.603448276,0,0,0,0
0,0,0,0,0,0,0,0.198275862,0.426724138,0,0,0,0
0,0,0,0,0,0,0,0.198275862,0.426724138,0,0,0,0
0,0,0,0,0,0,0,0.25,0.452586207,0,0,0,0
0,0,0,0,0,0,0,0.25,0.452586207,0,0,0,0
0,0,0,0,0,0,0,0.25,0.469827586,0,0,0,0
0,0,0,0,0,0,0,0.25,0.469827586,0,0,0,0
0,0,0,0,0,0,0,0.25,0.482758621,0,0,0,0
0,0,0,0,0,0,0,0.25,0.482758621,0,0,0,0
0,0,0,0,0,0,0,0.301724138,0.495689655,0,0,0,0
0,0,0,0,0,0,0,0.301724138,0.512931034,0,0.5,0,0
0,0,0,0,0,0,0,0.301724138,0.512931034,0,0.5,0,0
0,0,0,0,0,0,0,0.301724138,0.525862069,0,0.5,0,0
0,0,0,0,0,0,0,0.301724138,0.525862069,0,0.5,0,0
0,0,0,0,0,0,0,0.301724138,0.543103448,0,0.5,0,0
0,0,0,0,0,0,0,0.301724138,0.556034483,0,0.5,0,0
0,0,0,0,0,0,0,0.301724138,0.568965517,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.568965517,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.568965517,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.568965517,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.568965517,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.599137931,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.599137931,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.599137931,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.599137931,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.599137931,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.599137931,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.61637931,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.61637931,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.61637931,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.61637931,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.646551724,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.659482759,0,1,0,0
0,0,0,0,0,0,0,0.349137931,0.659482759,0,1,0,0
